timestamp	label	engine	sent	pcap	intype0	inechoreps	factor
20260917-030634	vulnerable-py	py	100	300	300	300	3.00
20260917-030644	vulnerable-c	c	100	300	300	300	3.00
20260917-030647	defended	py	100	0	0	0	0.00
20260917-030705	defended-router-only	py	100	0	0	0	0.00
20260917-030708	defended-amps-only	py	100	0	0	0	0.00
20260917-030711	vulnerable-recheck	py	100	300	300	300	3.00
